,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,artist_ids,top_track_popularities,genres,track_popularities
2419,209051,man made,Roddy Ricch,LIVE LIFE FAST,spotify:track:5ciPtn2yJDgSSXio7dQq13,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",33.0
2420,158691,Start Wit Me (feat. Gunna),Roddy Ricch,Please Excuse Me for Being Antisocial,spotify:track:7A20WnLkjtZU2d7hIB6Ziu,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",62.0
2421,94935,Wow. - Remix,Post Malone,Wow.,spotify:track:0fcq51a3gOI6gPvzc0YLsk,246dkjvS1zLTtiykXe5h60,84.0,"['dfw rap', 'melodic rap', 'pop', 'rap']",55.0
2422,214375,Every Season,Roddy Ricch,Feed Tha Streets II,spotify:track:1ttPzkTSpQUFcEGx8bjerL,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",63.0
2423,167845,Letter to Nipsey (feat. Roddy Ricch),Meek Mill,Letter To Nipsey (feat. Roddy Ricch),spotify:track:0j2CNrgtalXRGIvHMO2vzh,20sxb77xiYeusSH8cVdatc,74.0,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",45.0
2424,186261,crash the party,Roddy Ricch,LIVE LIFE FAST,spotify:track:0WtWtk7D05LELKQk0q8FMC,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",35.0
2425,167557,Boom Boom Room,Roddy Ricch,Please Excuse Me for Being Antisocial,spotify:track:3aBL75wBGHJnskegE9jyhb,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",53.0
2426,162916,paid my dues (feat. Takeoff),Roddy Ricch,LIVE LIFE FAST,spotify:track:61TWTSHcrFVgaRr6U4MKBs,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",42.0
2427,4449,Out Tha Mud,Roddy Ricch,Out Tha Mud,spotify:track:7jI9cnrZof9mRNpIsA7QQN,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",42.0
2428,1240,Nascar,Roddy Ricch,Feed Tha Streets II,spotify:track:4F60iJFwx0G7x3SNjYWiZP,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",42.0
2429,110380,Time (feat. Roddy Ricch),Fabolous,Summertime Shootout 3: Coldest Summer Ever,spotify:track:3Hx8hoMtBcIj2vbS9hCOvy,0YWxKQj2Go9CGHCp77UOyy,61.0,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']",41.0
2430,1540,Peta (feat. Meek Mill),Roddy Ricch,Please Excuse Me for Being Antisocial,spotify:track:4bl1HBZliBuYpFZjWgefE4,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",51.0
2431,360297,rollercoastin,Roddy Ricch,LIVE LIFE FAST,spotify:track:70QQOOZksoit78QsiDrEiN,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",39.0
2432,277551,"How It Is (feat. Roddy Ricch, Chip & Yxng Bane)",The Plug,"How It Is (feat. Roddy Ricch, Chip & Yxng Bane)",spotify:track:1ogmtYEsS4ywfLIhMee5bu,5r3fI2q1YU3QyVP7oncOQ9,49.0,['uk hip hop'],43.0
2433,168160,Cream,Roddy Ricch,Feed Tha Streets II,spotify:track:2wz3OO7ndJQj15z3drwKkf,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",47.0
2434,284439,Chase The Money,E-40,Practice Makes Paper,spotify:track:3rnDyg4f2oRsWmXdZVFD1Y,3crnzLy8R4lVwaigKEOz7V,60.0,"['cali rap', 'gangster rap', 'hyphy', 'oakland hip hop', 'west coast rap']",3.0
2435,168494,"Splash Warning (feat. Future, Roddy Ricch and Young Thug)",Meek Mill,Championships,spotify:track:6cPnE82DKBLd7sg02ZNg8K,20sxb77xiYeusSH8cVdatc,74.0,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",41.0
2436,84162,Evolved (feat. Roddy Ricch),PnB Rock,TrapStar Turnt PopStar,spotify:track:0q2n4kmbSaQUPfECkNpkfD,21WS9wngs9AqFckK7yYJPM,68.0,"['melodic rap', 'rap', 'trap']",29.0
2437,157970,Turkey Season,Only The Family,Only The Family - Lil Durk Presents: Loyal Bros,spotify:track:4ftPGuvuJaHKrpYcyCRAS1,3IaKn0ExWTMPqa0mscUYw3,65.0,['chicago rap'],50.0
2438,168728,No Return (with The Kid LAROI & Lil Durk),Polo G,Hall of Fame,spotify:track:23OYT3SFtoJqhiAUqktbc1,6AgTAQt8XS6jRWi4sX7w49,78.0,"['chicago rap', 'rap']",54.0
2439,151646,Pop Out,Blxst,Sixtape 2,spotify:track:69NSfHbyxtTNxVp7bgRSGT,4qXC0i02bSFstECuXP2ZpL,73.0,"['pop rap', 'westcoast flow']",42.0
2440,207252,GET MONEY (feat. DDG & Tyla Yaweh),Melvoni,GET MONEY (feat. DDG & Tyla Yaweh),spotify:track:1pGlbknNqHchwYzHh3ffJj,01Kz5ab1oYMaey58CaGTxA,36.0,['nyc rap'],28.0
2441,1578,Already Best Friends (feat. Chris Brown),Jack Harlow,Thats What They All Say,spotify:track:4RKJRRd4VJfZWiqQTYsleE,2LIk90788K0zvyj2JJVwkJ,81.0,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",63.0
2442,1450,Champagne Poetry,Drake,Certified Lover Boy,spotify:track:2HSmyk2qMN8WQjuGhaQgCk,3TVXtAsR1Inumwj472S9r4,85.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",69.0
2443,938,Big Check,Almighty Jay,Battling My Spirit,spotify:track:7lSXb6XzrrHCxuE1KQcfRK,2HWXxzgBIr0RMSZmvMZeJU,57.0,['trap'],13.0
2444,874,GNF (OKOKOK),Polo G,GNF (OKOKOK),spotify:track:1A8990rtwHQ417l3yADe5t,6AgTAQt8XS6jRWi4sX7w49,78.0,"['chicago rap', 'rap']",0.0
2445,404945,Wants and Needs (feat. Lil Baby),Drake,Scary Hours 2,spotify:track:65OVbaJR5O1RmwOQx0875b,3TVXtAsR1Inumwj472S9r4,85.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",73.0
2446,71355,Paid the Fine (feat. Lil Baby & YTB Trench),Young Stoner Life,Slime Language 2,spotify:track:0GqaZ1L5KAXMNngAZbGvLf,1xr2G8Hlx4QWmT9HaUbmoO,72.0,['pop rap'],47.0
2447,2500,Paid the Fine (feat. Lil Baby & YTB Trench),Young Stoner Life,Slime Language 2,spotify:track:0GqaZ1L5KAXMNngAZbGvLf,1xr2G8Hlx4QWmT9HaUbmoO,72.0,['pop rap'],47.0
2448,1220,Finesse Out The Gang Way (feat. Lil Baby),Lil Durk,The Voice,spotify:track:61FfbHfk4qT8ZzNA5dqN9j,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",56.0
2449,2660,Same Guy (feat. Adam Levine),Jack Harlow,Thats What They All Say,spotify:track:2InNHqO69Nu6lH8169ncxR,2LIk90788K0zvyj2JJVwkJ,81.0,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",43.0
2450,166911,How It Feels,Lil Baby,The Voice of the Heroes,spotify:track:62nb5YUYUqtYJhVPwRhCke,5f7VJjfbwm532GiveGC0ZK,80.0,"['atl hip hop', 'atl trap', 'rap', 'trap']",58.0
2451,223116,Time Today,Moneybagg Yo,A Gangsta’s Pain,spotify:track:0YrKSfpvflYnLSBd4Jtu6J,3tJoFztHeIJkJWMrx0td2f,72.0,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",69.0
2452,143283,MONEY ON ME,Lil Tecca,MONEY ON ME,spotify:track:681ZlxQVB8XBPRZD1Wk4oi,4Ga1P7PMIsmqEZqhYZQgDo,85.0,"['melodic rap', 'pluggnb', 'rap']",39.0
2453,4244,No Friends In The Industry,Drake,Certified Lover Boy,spotify:track:2tUL6dZf1mywCj5WvCPZw6,3TVXtAsR1Inumwj472S9r4,85.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",66.0
2454,178203,Rich Off Words (feat. DaBaby),Stunna 4 Vegas,Welcome To 4 Vegas,spotify:track:6eGVI6yImrAoZWzq56HW0E,44IvvHRk2XF243QLA2VOa8,72.0,"['north carolina hip hop', 'trap']",25.0
