,track_id,average_seconds_played,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_name_x,artist_name_x,artist_id_x,genres_x,track_popularity_x,track_name_y,artist_name_y,artist_id_y,genres_y,track_popularity_y,avg_completion_rate,total_plays
2493,spotify:track:5YoRDtZRUMiPX9cZDyOFVk,144.874,0.798,0.574,1.0,-6.463,1.0,0.161,0.0195,1.12e-06,0.114,0.441,182.974,4.0,FREAKY (feat. Cardi B),Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",42.0,FREAKY (feat. Cardi B),Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",42.0,0.7255780875157136,3
22,spotify:track:02XlaBr5k34zLI1lG6uCSP,144.7932142857143,0.868,0.528,1.0,-8.079,1.0,0.0817,0.147,0.000185,0.109,0.211,139.961,4.0,Broke Opps,King Von,6QtgPSJPSzcnn7dPZ4VINp,"['chicago rap', 'rap']",56.0,Broke Opps,King Von,6QtgPSJPSzcnn7dPZ4VINp,"['chicago rap', 'rap']",56.0,0.9180280131225466,14
2534,spotify:track:5et07CoblayzSAQIFLtP3d,144.746,0.75,0.636,2.0,-7.519,1.0,0.284,0.00379,0.0,0.251,0.262,145.965,4.0,Monitoring Me,Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",58.0,Monitoring Me,Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",58.0,0.9999930913939494,3
622,spotify:track:1OybHaoLAhB6biFWfaCVDw,144.71538095238094,0.842,0.512,11.0,-8.202,1.0,0.333,0.0169,0.0,0.202,0.688,162.023,4.0,Smoking & Thinking,Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",50.0,Smoking & Thinking,Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",50.0,0.9818401334698013,42
1031,spotify:track:2JNaqjOm7jHePMdr6WIadg,144.67681395348836,0.614,0.693,9.0,-5.983,1.0,0.13,7.46e-05,1.48e-05,0.1,0.0698,159.925,4.0,Same Side (feat. Rob49),Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",48.0,Same Side (feat. Rob49),Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",48.0,0.941042493241805,43
1058,spotify:track:2MBjMrecld1TgdzCSVouEW,144.63757142857142,0.452,0.748,10.0,-7.858,0.0,0.302,0.022,0.0,0.0422,0.586,173.722,4.0,Bryson,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,"['memphis hip hop', 'rap']",38.0,Bryson,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,"['memphis hip hop', 'rap']",38.0,0.6543117326096973,7
1635,spotify:track:3cqZH3cqvfbV8wVbvHyPbG,144.576,0.703,0.709,9.0,-6.452,1.0,0.402,0.00908,0.0,0.127,0.569,140.998,4.0,Red Opps,21 Savage,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'hip hop', 'rap']",56.0,Red Opps,21 Savage,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'hip hop', 'rap']",56.0,0.8851230562017877,1
734,spotify:track:1h0rVgfuKa6V9DkVSLAc4Q,144.52941666666666,0.742,0.543,8.0,-8.77,0.0,0.211,0.125,0.0,0.237,0.407,129.091,4.0,back at it,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']",53.0,back at it,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']",53.0,0.7763178155085144,36
3345,spotify:track:7gFpktse0Ek3rj3qR6cwLZ,144.463,0.84,0.504,9.0,-6.218,0.0,0.26,0.415,0.0,0.124,0.255,103.086,4.0,Chose Me,Blueface,3Fl1V19tmjt57oBdxXKAjJ,"['cali rap', 'rap', 'trap']",38.0,Chose Me,Blueface,3Fl1V19tmjt57oBdxXKAjJ,"['cali rap', 'rap', 'trap']",38.0,0.9999930778602282,1
2517,spotify:track:5cUFVcxMzMtN7BMPNDiUcw,144.413,0.551,0.842,0.0,-4.948,1.0,0.43,0.405,0.0,0.106,0.3,94.095,4.0,Don't Condone,Symba,06S3fr7xEES7e3QPXhu3ay,[],23.0,Don't Condone,Symba,06S3fr7xEES7e3QPXhu3ay,[],23.0,0.9999930754635978,1
